idsubproduto,descricaoproduto,flaginativo,idsecao,idgrupo,idsubgrupo,descrsecao,descrgrupo,descrsubgrupo
13933,# COIFA INOX PAREDE 200X100X60 PANAN,T,1,1,1,Geral,Geral,Geral
13963,# CORTINA TERM.PADRAO 975X1800 TRANCADA LOTHERM,T,1,1,1,Geral,Geral,Geral
14023,# FORNO ELET. 18L 110V FR1181 MARCHESONI,T,1,1,1,Geral,Geral,Geral
14105,"# LIQUIDIFICADOR PLAST.LT COPO TRANSP. 1,5L 110V POLI",T,1,1,1,Geral,Geral,Geral
14177,# REGULADOR GAS ALTA PRESSAO 413 RISKGAS,T,1,1,1,Geral,Geral,Geral
10665,# SUPORTE P/BALANCA BALCAO SERAL,T,1,1,1,Geral,Geral,Geral
14187,# SUPORTE P/BALANCA PANAN,T,1,1,1,Geral,Geral,Geral
18393,#ACUCAREIRO TINY VD12922 4434 MIMO,T,1,1,1,Geral,Geral,Geral
16436,#CONCHA FERRO CABO TRABALHADO DL04 302 UNY GIFT,F,1,1,1,Geral,Geral,Geral
16434,#FACA DE METAL CY15 - UNY GIFT,F,1,1,1,Geral,Geral,Geral
45878,#-FORNO TURBO 10 EST.GAS FTG-300 (23648)MONO110V/ 220V- G.PA,T,1,1,1,Geral,Geral,Geral
16432,#GARFO DE METAL CY13BOX 1943 UNY GIFT,F,1,1,1,Geral,Geral,Geral
42330,#MT-RESISTENCIA CHURRASQUEIRA 1.800W 127V. - ARKE,F,1,1,1,Geral,Geral,Geral
42560,#MT-RESISTENCIA CHURRASQUEIRA 1.800W 220V. - ARKE,T,1,1,1,Geral,Geral,Geral
67364,ACOPLAMEMTO CENTRAL,T,1,1,1,Geral,Geral,Geral
16533,AÇUCAR,T,1,1,1,Geral,Geral,Geral
11288,AFIADOR COMPLETO P/CORT.FRIOS BM-18 814 BERMAR,T,1,1,1,Geral,Geral,Geral
16545,AGUA,F,1,1,1,Geral,Geral,Geral
52115,ANTEPARA DISTANCIADOR PERFIL GST0-240 - GELOPAR,T,1,1,1,Geral,Geral,Geral
61930,AR CONDICIONADO MIDEA SPRINGER 12 BTUS,T,1,1,1,Geral,Geral,Geral
60708,"BALCAO ESTUFA EM ""L"" S/ BAND. 1,00MT - PANAN",T,1,1,1,Geral,Geral,Geral
49611,BALCAO ESTUFA PANOR VPE-100 110V PRETO REFRIMATE,T,1,1,1,Geral,Geral,Geral
12468,BOCAL RQ-15 G.PANIZ,T,1,1,1,Geral,Geral,Geral
12537,BOTA BORRACHA BCA. SL-PRO C.CURTO ALPARCATA,T,1,1,1,Geral,Geral,Geral
8561,BULE CHA ITALIA 5704030 GERMER,T,1,1,1,Geral,Geral,Geral
2807,CACAROLA ALUM.20CM NAPOLI TRAMONTINA,T,1,1,1,Geral,Geral,Geral
2132,CACAROLA ALUMINIO 26CM LYON SIL.20940/526 TRAMONTINA,T,1,1,1,Geral,Geral,Geral
2134,CACAROLA ALUMINIO 30CM LYON SIL.20940/530 TRAMONTINA,T,1,1,1,Geral,Geral,Geral
42598,CAIXA PARA TRANSPORTE DE PRODUTOS,T,1,1,1,Geral,Geral,Geral
9010,CANECA CHOCOLATE 90ML II JG C12 CAP02012012 KG CAPITAL,T,1,1,1,Geral,Geral,Geral
9012,CANECA CHOCOLATE 90ML III JG C12 CAP02012013 KG CAPITAL,T,1,1,1,Geral,Geral,Geral
9014,CANECA CHOCOLATE 90ML IV JG C12 CAP02012014 KG CAPITAL,T,1,1,1,Geral,Geral,Geral
