IDCLIFOR,NOME,FONE1,FONE2,FONECELULAR,EMAIL,DESCRCIDADE
80686,@BURGUERCG LTDA,           ,,67992098041,sol_dudu@hotmail.com,CAMPO GRANDE
70281,@REGISTROU SOLUCOES IMOBILIARIAS LTDA,           ,,67992116894,gestaocontabil2014@gmail.com,CAMPO GRANDE
75198,+ QDELICIA SALGADOS ME,           ,,67999330475,,ANASTACIO
74534,+Q ESPETOS RESTURANTE E MARMITARIA ME,           ,,67999172464,maisqespetos@gmail.com,CAMPO GRANDE
91261,03560440000191,           ,,67991805311,brunalemes@sescms.com.br,CAMPO GRANDE
9235,1° ESQUADRAO  DE HELICOPTEROS DE EMPREGO GERAL DO OESTE,6732341192,6732341192,67996937878,leonardo-saraiva-s@hotmail.com,LADARIO
82444,1070 BURGER LTDA,           ,,67998551070,,CAMPO GRANDE
98143,16.560.560 ALINE DO CARMO CORREA,           ,,67996018302,,TERENOS
98994,17.141.520 RENATO MOREL MACHADO,           ,,67992160455,renatomorel26@gmail.com,CAMPO GRANDE
90742,20.169.842. LEONARDO SALGADO SOLDATI,67999581537,,67981221909,,CAMPO GRANDE
93510,20.744.581 MARCELO RODRIGUES DA SILVA,           ,,67991666265,,CAMPO GRANDE
93196,25 265 842 CLEIDE FERNANDES DA SILVA,           ,,67991385112,,CAMPO GRANDE
97427,27.058.993 LUCIANO GAVILON MACHADO,           ,,67998503103,,PONTA PORA
87188,2A AGROPECUARIA LTDA,           ,,67992123335,tuliostu@gmail.com,MARACAJU
71395,2D SUPRIMENTOS DE ESCRITORIO,6730253857,,,,CAMPO GRANDE
97701,2R COMERCIO DE ALIMENTOS LTDA,67992096870,,,,PONTA PORA
25277,2R ENGENHARIA GEO AMBIENTAL LTDA ME,6730425059,,67999818238,engenheiroricardorosa@gmail.com,CAMPO GRANDE
88310,2WD SOLUCOES EM SERVICOS E CONTROLE DE PRAGAS LTDA,           ,,67996988266,,CAMPO GRANDE
62891,3 A DESENVOLVIMENTO E TECNOLOGIA DA INFORMATICA LTDA,6730412771,,67998052867,,CAMPO GRANDE
85928,3 IRMAOS COMERCIO E DISTRIBUIDORA DE HORTIFRUTIGRANJEIROS LTDA,           ,,67996449006,,TERENOS
63795,3 R COMERCIO DE ALIMENTOS EIRELI EPP,           ,,67999032016,,CAMPO GRANDE
86910,30.164.501 VERONICA AYALA DE OLIVEIRA,           ,,67999880111,v100784@hotmail.com,PORTO MURTINHO
94283,31414763 ELIANE DA CRUZ FERREIRA,67998575541,,19996424570,,SIDROLANDIA
35386,3A MAQUINAS E TRANSPORTES LTDA,6734282752,,67992989566,financeiro@3amaquinas.com.br,DOURADOS
68016,3C COMERCIO DE VEICULOS LTDA,6732225292,,67999532510,,CAMPO GRANDE
90568,40.364.815 ANA CAROLINA DE ALMEIDA FONTINELI,           ,,67984485712,,CAMPO GRANDE
94732,41.466.964 GISLAINE SIQUEIRA ROBERTO,           ,,67991518518,,CAMPO GRANDE
47430,42 ORIGINAL BURGUER LTDA,,,67993043838,,CAMPO GRANDE
97928,44.413.446 ALINE MOURA DA SILVA,           ,,67999347940,,CAMPO GRANDE
97122,44.809.596 ISAQUE PEREIRA TORRES,           ,,17996791020,,FIGUEIRAO
89905,46.364.434 NILCE JUREMA DE ARAUJO RIOS,           ,,67981763550,riosnilce@gmail.com,CAMPO GRANDE
98552,48.286.945 EDRIANA CANDIDA COSTA,           ,,67984572197,drica1611@hotmail.com,ALCINOPOLIS
97810,49.075.592 VITOR ALMEIDA DE SOUSA,           ,,67984457428,VITORPIETRO0103@GMAIL.COM,CAMPO GRANDE
93673,49.471.064 MIRIVANIO PORTUGUEZ DE FARIAS,67981153041,,67992081086,MIRIVANEO@GMAIL.COM.BR,SIDROLANDIA
73965,4F COMERCIO DE FUMO LTDA,           ,,67999810270,,CAMPO GRANDE
58042,4X4 EVENTOS MS LTDA,6732551164,,67981424805,financeiro@vilarebua.com.br,BONITO
85221,50.277.658 SILVANA MORALES DE ASSIS,           ,,67999133747,deassissilvana66@gmail.com,CAMPO GRANDE
89942,50.608.624 SILVANO HENRIQUE,           ,,67999710876,,GUIA LOPES DA LAGUNA
97742,50.805.110 WILLIKER VINICIUS PITA COSTA,           ,,67992135335,mbcvallet@gmail.com,CAMPO GRANDE
87236,50.945.053 ELSON MATIAS BARBOSA,           ,,67991965190,,CAMPO GRANDE
87808,51.458.535 FABRICIO ESTEVES LIMA DUARTE,           ,,67996007547,estcomercios@hotmail.com,CAMPO GRANDE
88641,51.911.032 WILLIAN JHEFFERSON DUARTE DA SILVA,           ,,67996363811,lucineiduarte089@gmail.com,SIDROLANDIA
94481,51.938.240 PHABLO PIRES DOS SANTOS,           ,,45991266709,,CAMPO GRANDE
96906,52.134.655 KAMILA CARVALHO SILVA,           ,,67992142609,,CAMPO GRANDE
92253,52.384.723 THIAGO HUERTA DE CARVALHO,           ,,67998908024,,BELA VISTA
91631,52.825.799 JOSE LUIZ DA SILVA,           ,,67991952371,jose171193@iclod.com,CAMPO GRANDE
93805,52.844.805 ADELAINE CAVANHA DO NASCIMENTO,6733445548,,67999013310,,CAMPO GRANDE
90797,53.044.016 LARIA PAULO ROSA,           ,,67991952205,,CAMPO GRANDE
98133,53.218.532 YARA HOLANDA MONTENEGRO,           ,,67996051794,holandayara45@gmail.com,CORUMBA
97820,53.374.564 EMERSON BISPO COSTA,           ,,67984485598,,CAMPO GRANDE
96252,54.440.083 RODRIGO SABADOTO,           ,,67998777872,RODRIGOSABADOTO96@GMAIL.COM,NOVA ALVORADA DO SUL
90387,54.945.356 ROBSON ALEXANDRE ALBINO DE OLIVEIRA,           ,,67999053760,,BANDEIRANTES
95104,56.035.668 AGUIDA CANDIDA DE MENDONÇA,67998659130,,67991610594,,CAMPO GRANDE
97192,56.178.271 MARCOS VINICIUS BARRETO DO NASCIMENTO,           ,,67992032232,tresmanepizzaria@gmail.com,BONITO
95572,56.881.015 EDSON DANIEL DRESCH,           ,,67999280976,,SAO GABRIEL DO OESTE
96189,57.189.925 RENATO ALBERTONI MIRANDA DE CAMPOS,           ,,67998230624,vieirapaula862@gmail.com,CAMPO GRANDE
97648,58.055.782 ROZANA DA SILVA MIRANDA,           ,,67996675286,,CAMPO GRANDE
100233,58.950.694 ANNA ELOISA ABDALLA BARBOSA,           ,,67999894870,deliciasbrasilacai@gmail.com,CAMPO GRANDE
88519,67 BATERIAS EIRELI,           ,,,,CAMPO GRANDE
35929,67 CAFE EIRELI,,,67981189698,carlafenelon@hotmail.com,CAMPO GRANDE
92227,67 TELECOM LTDA,           ,,67981342209,,PONTA PORA
90817,7 COMPONENTES ELETRONICOS LTDA,6733242258,,,,CAMPO GRANDE
51631,7 SOLUCOES PARA COMUNICACAO VISUAL EIRELI,           ,,,,CAMPO GRANDE
95227,7VP CAFE LTDA,           ,,67998111415,MAIS1CAFE.CARANDA@GMAIL.COM,CAMPO GRANDE
32076,8 IMPLANTES COMERCIO DE PRODUTOS MEDICOS E HOSPITALARES LTDA,6733821639,,,administrativo@8implantes.com.br,CAMPO GRANDE
61905,8020 MARKETING,6733828020,,,,CAMPO GRANDE
94964,99 GRILL LTDA,           ,,67996513434,99PECUARIA@GMAIL.COM,CAMPO GRANDE
102572,A & C RESTAURANTE LTDA EPP,6733833207 ,6733131633 ,67984053288,,CAMPO GRANDE
71995,A & S PECAS E ACESSORIOS LTDA,           ,,67992725482,,CAMPO GRANDE
62263,A A DE OLIVEIRA MARINHO-ME,,,67999871766,,CORUMBA
1528,A A R H HOSPITAL SAO JULIAO,6733581529,6733543107 ,67992698332,nilson.freire@saojuliao.org.br,CAMPO GRANDE
75382,A C B MORRO EVENTOS EIRELI,           ,,67992847273,,CAMPO GRANDE
51742,A CARLOS DOS SANTOS RESTAURANTE,6733240144,6733051002,67999768304,,CAMPO GRANDE
